season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	NLSP//NCJ	EMERALD	2	d0pe	24	NCJ	21	23	20	172	0	3	3	3	6	3	10	7	1	9	10	0	1	3	269	18	-1	1	2	1	1	0	0	0	17.2	2.1	0	8.19047619	0.9	0.09523809524	0.6	0.3	0.3	26.9	1	0.01115241636	0.3333333333	0.3333333333	0.3	0.2608695652	1	0.1666666667
10	1	NLSP//NCJ	EMERALD	2	Tim Hortons	24	NLSP	13	17	12	68	0	22	5	8	16	2	10	6	0	2	4	0	1	8	345	18	1	1	5	0	0	1	0	0	6.8	1.3	0	5.230769231	0.5	0.3846153846	1.6	0.8	2.2	34.5	2.75	0.06376811594	0.125	0.125	0.8	0.9411764706	1	0.1111111111
10	1	NLSP//NCJ	EMERALD	2	Dodge	64	NLSP	6	5	4	46	2	125	1	13	19	3	10	0	1	1	1	0	1	6	345	18	1	3	3	2	0	0	0	0.2	4.6	0.6	0.3333333333	7.666666667	1	0.5	1.9	1.3	12.5	34.5	9.615384615	0.3623188406	0.07692307692	0.2307692308	0.6	3.8	0	0.1666666667
10	1	NLSP//NCJ	EMERALD	2	Jorge	39	NCJ	2	15	2	11	0	209	13	17	22	1	10	2	0	1	1	0	7	5	269	18	-1	9	0	0	1	0	0	0	1.1	0.2	0	5.5	1	0	2.2	1.7	20.9	26.9	12.29411765	0.7769516729	0.4117647059	0.5294117647	0.5	1.466666667	0	0.05555555556
10	1	NLSP//NCJ	EMERALD	2	keithstoned1	40	NCJ	15	20	13	124	2	16	7	2	8	2	10	9	0	5	7	2	0	6	269	18	-1	0	3	2	0	0	0	0.2	12.4	1.5	0.1333333333	8.266666667	0.7142857143	0.2	0.8	0.2	1.6	26.9	8	0.0594795539	0	0	0.6	0.4	0	0.1111111111
10	1	NLSP//NCJ	EMERALD	2	nv	35	NLSP	13	18	12	111	1	6	6	5	9	4	10	7	1	5	6	0	0	4	345	18	1	0	2	1	1	0	0	0.1	11.1	1.3	0.07692307692	8.538461538	0.8333333333	0.1538461538	0.9	0.5	0.6	34.5	1.2	0.01739130435	0	0	0.4	0.5	0	0.2222222222
10	1	NLSP//NCJ	EMERALD	2	OJdude	35	NLSP	8	16	8	44	0	88	8	12	15	3	10	2	1	2	2	0	1	3	345	18	1	1	6	1	0	0	0	0	4.4	0.8	0	5.5	1	0.75	1.5	1.2	8.8	34.5	7.333333333	0.2550724638	0.08333333333	0.08333333333	0.3	0.9375	0	0.1666666667
10	1	NLSP//NCJ	EMERALD	2	Fuzzy	39	NCJ	5	10	5	38	0	209	5	12	16	0	10	3	0	4	4	0	4	4	269	18	-1	5	0	0	0	0	0	0	3.8	0.5	0	7.6	1	0	1.6	1.2	20.9	26.9	17.41666667	0.7769516729	0.3333333333	0.4166666667	0.4	1.6	0	0
10	1	NLSP//NCJ	Monarch	1	InTents	11	NCJ	19	22	19	107	0	39	3	3	4	0	10	7	0	2	3	0	1	1	332	18	-12	1	4	2	0	0	0	0	10.7	1.9	0	5.631578947	0.6666666667	0.2105263158	0.4	0.3	3.9	33.2	13	0.1174698795	0.3333333333	0.3333333333	0.1	0.1818181818	0	0
10	1	NLSP//NCJ	Monarch	1	eee	57	NCJ	2	8	2	12	0	176	6	25	30	4	10	1	0	2	2	0	8	5	248	18	12	8	1	0	2	0	0	0	1.2	0.2	0	6	1	0.5	3	2.5	17.6	24.8	7.04	0.7096774194	0.32	0.32	0.5	3.75	0	0.2222222222
10	1	NLSP//NCJ	Monarch	1	Tim Hortons	21	NCJ	15	23	15	65	0	25	8	10	16	2	10	4	0	5	9	0	2	6	332	18	-12	1	6	2	0	0	0	0	6.5	1.5	0	4.333333333	0.5555555556	0.4	1.6	1	2.5	33.2	2.5	0.07530120482	0.2	0.1	0.6	0.6956521739	0	0.1111111111
10	1	NLSP//NCJ	Monarch	1	d0pe	44	NCJ	18	16	14	101	4	24	2	6	9	4	10	8	0	6	6	3	2	3	248	18	12	1	5	1	1	0	0	0.4	10.1	1.8	0.2222222222	5.611111111	1	0.2777777778	0.9	0.6	2.4	24.8	4	0.09677419355	0.3333333333	0.1666666667	0.3	0.5625	0	0.2222222222
10	1	NLSP//NCJ	Monarch	1	OJdude	29	NCJ	11	15	10	45	1	98	5	10	13	2	10	1	0	4	5	0	5	3	332	18	-12	5	5	3	0	0	0	0.1	4.5	1.1	0.09090909091	4.090909091	0.8	0.4545454545	1.3	1	9.8	33.2	9.8	0.2951807229	0.5	0.5	0.3	0.8666666667	0	0.1111111111
10	1	NLSP//NCJ	Monarch	1	Fuzzy	52	NCJ	6	9	4	37	2	171	5	15	21	1	10	3	0	0	0	2	2	6	248	18	12	5	2	0	1	0	0	0.2	3.7	0.6	0.3333333333	6.166666667	0	0.3333333333	2.1	1.5	17.1	24.8	11.4	0.689516129	0.1333333333	0.3333333333	0.6	2.333333333	0	0.05555555556
10	1	NLSP//NCJ	Monarch	1	Gman8181	61	NCJ	21	15	14	182	7	57	1	4	5	3	10	8	2	6	9	3	3	1	248	18	12	3	4	4	0	0	2	0.7	18.2	2.1	0.3333333333	8.666666667	0.6666666667	0.1904761905	0.5	0.4	5.7	24.8	14.25	0.2298387097	0.75	0.75	0.1	0.3333333333	0	0.1666666667
10	1	NLSP//NCJ	Monarch	1	Dodge	26	NCJ	6	13	6	31	0	133	7	10	12	2	10	0	0	2	3	0	4	2	332	18	-12	5	2	2	0	0	0	0	3.1	0.6	0	5.166666667	0.6666666667	0.3333333333	1.2	1	13.3	33.2	13.3	0.4006024096	0.4	0.5	0.2	0.9230769231	0	0.1111111111
10	1	NLSP//NCJ	Monarch	2	d0pe	24	NLSP	21	23	20	172	0	3	3	3	6	3	10	7	1	9	10	0	1	3	269	18	-1	1	2	1	1	0	0	0	17.2	2.1	0	8.19047619	0.9	0.09523809524	0.6	0.3	0.3	26.9	1	0.01115241636	0.3333333333	0.3333333333	0.3	0.2608695652	1	0.1666666667
10	1	NLSP//NCJ	Monarch	2	Tim Hortons	24	NCJ	13	17	12	68	0	22	5	8	16	2	10	6	0	2	4	0	1	8	345	18	1	1	5	0	0	1	0	0	6.8	1.3	0	5.230769231	0.5	0.3846153846	1.6	0.8	2.2	34.5	2.75	0.06376811594	0.125	0.125	0.8	0.9411764706	1	0.1111111111
