season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MBD//MHR	EMERALD	-	Syniikal	82	MHR	2	6	1	16	1	305	5	25	29	3	20	2	0	1	2	1	6	4	588	36	3	5	0	0	0	0	0	0.05	0.8	0.1	0.5	8	0.5	0	1.45	1.25	15.25	29.4	12.2	0.5187074829931972	0.24	0.2	0.2	4.833333333333333	0	0.08333333333333333
10	1	MBD//MHR	EMERALD	-	jjpoole	72	MBD	15	29	15	64	0	249	14	24	32	8	20	4	0	3	4	0	11	8	594	36	-3	10	8	3	0	0	0	0	3.2	0.75	0	4.266666666666667	0.75	0.5333333333333333	1.6	1.2	12.45	29.7	10.375	0.41919191919191917	0.4583333333333333	0.4166666666666667	0.4	1.103448275862069	0	0.2222222222222222
10	1	MBD//MHR	EMERALD	-	Abe Lincoln	121	MHR	13	18	11	94	2	326	7	37	51	7	20	6	1	6	6	1	13	14	588	36	3	14	2	1	1	0	0	0.1	4.7	0.65	0.15384615384615385	7.230769230769231	1	0.15384615384615385	2.55	1.85	16.3	29.4	8.81081081081081	0.5544217687074829	0.35135135135135137	0.3783783783783784	0.7	2.8333333333333335	0	0.19444444444444445
10	1	MBD//MHR	Monarch	-	owen	58	MBD	35	38	32	241	3	58	6	8	14	2	20	13	1	11	17	1	1	6	594	36	-3	0	10	5	0	0	1	0.15	12.05	1.75	0.08571428571428572	6.885714285714286	0.6470588235294118	0.2857142857142857	0.7	0.4	2.9	29.7	7.25	0.09764309764309764	0.125	0	0.3	0.3684210526315789	0	0.05555555555555555
10	1	MBD//MHR	Monarch	-	Legman	67	MHR	25	29	23	167	2	68	6	17	22	5	20	6	1	10	11	0	7	5	588	36	3	5	7	6	0	1	0	0.1	8.35	1.25	0.08	6.68	0.9090909090909091	0.28	1.1	0.85	3.4	29.4	4	0.11564625850340136	0.4117647058823529	0.29411764705882354	0.25	0.7586206896551724	0	0.1388888888888889
10	1	MBD//MHR	Monarch	-	Prizm	55	MBD	36	40	32	238	3	64	8	6	7	4	20	12	1	9	18	2	2	1	594	36	-3	2	7	3	1	0	0	0.15	11.9	1.8	0.08333333333333333	6.611111111111111	0.5	0.19444444444444445	0.35	0.3	3.2	29.7	10.666666666666666	0.10774410774410774	0.3333333333333333	0.3333333333333333	0.05	0.175	1	0.1111111111111111
10	1	MBD//MHR	Monarch	-	ProTagonist_	78	MHR	40	43	36	317	4	33	7	11	19	4	20	17	4	10	11	0	6	8	588	36	3	5	13	1	2	0	0	0.2	15.85	2	0.1	7.925	0.9090909090909091	0.325	0.95	0.55	1.65	29.4	3	0.05612244897959184	0.5454545454545454	0.45454545454545453	0.4	0.4418604651162791	0	0.1111111111111111
10	1	MBD//MHR	Monarch	-	C Bivvey	65	MBD	13	22	13	45	0	269	9	31	34	3	20	6	0	4	5	0	12	3	594	36	-3	10	4	1	0	0	0	0	2.25	0.65	0	3.4615384615384617	0.8	0.3076923076923077	1.7	1.55	13.45	29.7	8.67741935483871	0.45286195286195285	0.3870967741935484	0.3225806451612903	0.15	1.5454545454545454	0	0.08333333333333333
10	1	MBD//MHR	Monarch	-	Syniikal	82	MHR	2	6	1	16	1	305	5	25	29	3	20	2	0	1	2	1	6	4	588	36	3	5	0	0	0	0	0	0.05	0.8	0.1	0.5	8	0.5	0	1.45	1.25	15.25	29.4	12.2	0.5187074829931972	0.24	0.2	0.2	4.833333333333333	0	0.08333333333333333
10	1	MBD//MHR	Monarch	-	jjpoole	72	MBD	15	29	15	64	0	249	14	24	32	8	20	4	0	3	4	0	11	8	594	36	-3	10	8	3	0	0	0	0	3.2	0.75	0	4.266666666666667	0.75	0.5333333333333333	1.6	1.2	12.45	29.7	10.375	0.41919191919191917	0.4583333333333333	0.4166666666666667	0.4	1.103448275862069	0	0.2222222222222222
